error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c3f-ftldivp-c-012,12,Error,c3f,IF,FTDEMOTD,Conformity,FTDEMOTD conforms,FTDEMOTD must be between 0 and 3,Q1c. FTDEMOTD (emotional distress) must be between 0 and 3,"FTDEMOTD ne 0,1,2,3",,,,,
c3f-ftldivp-m-013,13,Error,c3f,IF,FTDLSELF,MIssingness,FTDLSELF must be present,FTDLSELF cannot be blank,Q2. FTDLSELF (little self-consciousness) cannot be blank,FTDLSELF=blank,,,,,
c3f-ftldivp-c-014,14,Error,c3f,IF,FTDLSELF,Conformity,FTDLSELF conforms,FTDLSELF must be between 0 and 3,Q2. FTDLSELF (little self-consciousness) must be between 0 and 3,"FTDLSELF ne 0,1,2,3",,,,,
c3f-ftldivp-m-015,15,Error,c3f,IF,FTDDISR,MIssingness,FTDDISR must be present,FTDDISR cannot be blank,Q2a. FTDDISR (disrobed immodestly) cannot be blank,FTDDISR=blank,,,,,
c3f-ftldivp-c-016,16,Error,c3f,IF,FTDDISR,Conformity,FTDDISR conforms,FTDDISR must be between 0 and 3,Q2a. FTDDISR (disrobed immodestly) must be between 0 and 3,"FTDDISR ne 0,1,2,3",,,,,
c3f-ftldivp-m-017,17,Error,c3f,IF,FTDBELCH,MIssingness,FTDBELCH must be present,FTDBELCH cannot be blank,Q2b. FTDBELCH (belching) cannot be blank,FTDBELCH=blank,,,,,
c3f-ftldivp-c-018,18,Error,c3f,IF,FTDBELCH,Conformity,FTDBELCH conforms,FTDBELCH must be between 0 and 3,Q2b. FTDBELCH (belching) must be between 0 and 3,"FTDBELCH ne 0,1,2,3",,,,,
c3f-ftldivp-m-019,19,Error,c3f,IF,FTDGIGG,MIssingness,FTDGIGG must be present,FTDGIGG cannot be blank,Q2c. FTDGIGG (giggled) cannot be blank,FTDGIGG=blank,,,,,
c3f-ftldivp-c-020,20,Error,c3f,IF,FTDGIGG,Conformity,FTDGIGG conforms,FTDGIGG must be between 0 and 3,Q2c. FTDGIGG (giggled) must be between 0 and 3,"FTDGIGG ne 0,1,2,3",,,,,
c3f-ftldivp-m-021,21,Error,c3f,IF,FTDPRIV,MIssingness,FTDPRIV must be present,FTDPRIV cannot be blank,Q3. FTDPRIV (insensitive to privacy) cannot be blank,FTDPRIV=blank,,,,,
c3f-ftldivp-c-022,22,Error,c3f,IF,FTDPRIV,Conformity,FTDPRIV conforms,FTDPRIV must be between 0 and 3,Q3. FTDPRIV (insensitive to privacy) must be between 0 and 3,"FTDPRIV ne 0,1,2,3",,,,,
c3f-ftldivp-m-023,23,Error,c3f,IF,FTDNEGAT,MIssingness,FTDNEGAT must be present,FTDNEGAT cannot be blank,Q3a. FTDNEGAT (negative comment) cannot be blank,FTDNEGAT=blank,,,,,
c3f-ftldivp-c-024,24,Error,c3f,IF,FTDNEGAT,Conformity,FTDNEGAT conforms,FTDNEGAT must be between 0 and 3,Q3a. FTDNEGAT (negative comment) must be between 0 and 3,"FTDNEGAT ne 0,1,2,3",,,,,
c3f-ftldivp-m-025,25,Error,c3f,IF,FTDECOMM,MIssingness,FTDECOMM must be present,FTDECOMM cannot be blank,Q3b. FTDECOMM (embarrassing comment) cannot be blank,FTDECOMM=blank,,,,,
c3f-ftldivp-c-026,26,Error,c3f,IF,FTDECOMM,Conformity,FTDECOMM conforms,FTDECOMM must be between 0 and 3,Q3b. FTDECOMM (embarrassing comment) must be between 0 and 3,"FTDECOMM ne 0,1,2,3",,,,,
c3f-ftldivp-m-027,27,Error,c3f,IF,FTDINAPJ,MIssingness,FTDINAPJ must be present,FTDINAPJ cannot be blank,Q3c. FTDINAPJ (inappropriate joke) cannot be blank,FTDINAPJ=blank,,,,,
c3f-ftldivp-c-028,28,Error,c3f,IF,FTDINAPJ,Conformity,FTDINAPJ conforms,FTDINAPJ must be between 0 and 3,Q3c. FTDINAPJ (inappropriate joke) must be between 0 and 3,"FTDINAPJ ne 0,1,2,3",,,,,
c3f-ftldivp-m-029,29,Error,c3f,IF,FTDFAILA,MIssingness,FTDFAILA must be present,FTDFAILA cannot be blank,Q4. FTDFAILA (failed to adapt) cannot be blank,FTDFAILA=blank,,,,,
c3f-ftldivp-c-030,30,Error,c3f,IF,FTDFAILA,Conformity,FTDFAILA conforms,FTDFAILA must be between 0 and 3,Q4. FTDFAILA (failed to adapt) must be between 0 and 3,"FTDFAILA ne 0,1,2,3",,,,,
c3f-ftldivp-m-031,31,Error,c3f,IF,FTDRESIS,MIssingness,FTDRESIS must be present,FTDRESIS cannot be blank,Q4a. FTDRESIS (resisted redirection) cannot be blank,FTDRESIS=blank,,,,,
c3f-ftldivp-c-032,32,Error,c3f,IF,FTDRESIS,Conformity,FTDRESIS conforms,FTDRESIS must be between 0 and 3,Q4a. FTDRESIS (resisted redirection) must be between 0 and 3,"FTDRESIS ne 0,1,2,3",,,,,
c3f-ftldivp-m-033,33,Error,c3f,IF,FTDINTER,MIssingness,FTDINTER must be present,FTDINTER cannot be blank,Q4b. FTDINTER (interrupted examiner) cannot be blank,FTDINTER=blank,,,,,
c3f-ftldivp-c-034,34,Error,c3f,IF,FTDINTER,Conformity,FTDINTER conforms,FTDINTER must be between 0 and 3,Q4b. FTDINTER (interrupted examiner) must be between 0 and 3,"FTDINTER ne 0,1,2,3",,,,,
c3f-ftldivp-m-035,35,Error,c3f,IF,FTDVERBA,MIssingness,FTDVERBA must be present,FTDVERBA cannot be blank,Q4c. FTDVERBA (verbalized to leave) cannot be blank,FTDVERBA=blank,,,,,
